Description,Destination,Date,Travel Transport,Hotel Stars,Room,Feeding,Nights,Price
"Varšuva ir didžiausias Europoje vandens atrakcionų parkas ""Suntago""",Lenkija,2024-02-16,Kelionė autobusu,,Standartinis kambarys (Dvivietis kambarys su dvigule lova),Viskas įskaičiuota,1,152.15
"Varšuva ir didžiausias Europoje vandens atrakcionų parkas ""Suntago""",Lenkija,2024-02-16,Kelionė autobusu,,Standartinis kambarys (Dvivietis kambarys su atskiromis lovomis),Viskas įskaičiuota,1,152.15
Slidinėjimas Slovakijoje – Žemuosiuose Tatruose,Slovakija,2024-02-14,Kelionė autobusu,,Standartinis kambarys (Dvivietis kambarys su dvigule lova),Viskas įskaičiuota,4,364.65
Slidinėjimas Slovakijoje – Žemuosiuose Tatruose,Slovakija,2024-02-14,Kelionė autobusu,,Standartinis kambarys (Dvivietis kambarys su atskiromis lovomis),Viskas įskaičiuota,4,364.65
Sun & Sea Hotel,"Hurgada., Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,3.0,Standartinis kambarys,Viskas įskaičiuota,3,415.00
Sun & Sea Hotel,"Hurgada., Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,3.0,Standartinis kambarys,Viskas įskaičiuota,7,475.00
Sun & Sea Hotel,"Hurgada., Hurgada, Egiptas",2024-02-06,Skrydis su bagažu,3.0,Standartinis kambarys,Viskas įskaičiuota,7,525.00
Sun & Sea Hotel,"Hurgada., Hurgada, Egiptas",2024-02-06,Skrydis su bagažu,3.0,Standartinis kambarys,Viskas įskaičiuota,4,580.00
Sun & Sea Hotel,"Hurgada., Hurgada, Egiptas",2024-02-20,Skrydis su bagažu,3.0,Standartinis kambarys,Viskas įskaičiuota,9,625.00
Lemon & Soul Makadi Bay,"Makadi Bėjus, Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,3.0,Standard Garden View tipo kambarys,Viskas įskaičiuota,3,429.00
Lemon & Soul Makadi Bay,"Makadi Bėjus, Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,3.0,Superior Pool View tipo kambarys,Viskas įskaičiuota,3,439.00
Lemon & Soul Makadi Bay,"Makadi Bėjus, Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,3.0,Deluxe Garden View tipo kambarys,Viskas įskaičiuota,3,495.00
Lemon & Soul Makadi Bay,"Makadi Bėjus, Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,3.0,Standard Garden View tipo kambarys,Viskas įskaičiuota,7,515.00
Lemon & Soul Makadi Bay,"Makadi Bėjus, Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,3.0,Deluxe Pool View tipo kambarys,Viskas įskaičiuota,3,515.00
